reward_mode,lambda,seed,episode,epsilon,steps,return,success,wall_hits,penalty_entries,door_attempts,key_picked,termination_reason
shaped,0.3,8565,4,0.980149500625,500,-1186.5999999999985,False,108,7,0,False,energy_depleted
shaped,0.3,8565,5,0.975248753121875,500,-1223.1500000000017,False,114,7,0,False,energy_depleted
shaped,0.3,8565,6,0.9703725093562656,500,-1376.0999999999997,False,109,24,1,False,energy_depleted
shaped,0.3,8565,7,0.9655206468094842,500,-1431.6,False,146,20,0,True,energy_depleted
shaped,0.3,8565,8,0.9606930435754368,500,-1175.9500000000003,False,126,0,0,False,energy_depleted
shaped,0.3,8565,9,0.9558895783575596,500,-1113.224999999999,False,109,0,0,False,energy_depleted
shaped,0.3,8565,10,0.9511101304657719,500,-1448.699999999998,False,147,6,0,False,energy_depleted
shaped,0.3,8565,11,0.946354579813443,500,-1107.3750000000002,False,123,10,0,True,energy_depleted
shaped,0.3,8565,12,0.9416228069143757,500,-1232.5749999999998,False,114,7,0,False,energy_depleted
shaped,0.3,8565,13,0.9369146928798039,500,-1146.6750000000013,False,117,14,0,True,energy_depleted
shaped,0.3,8565,14,0.9322301194154049,500,-1275.849999999996,False,122,13,0,True,energy_depleted
shaped,0.3,8565,15,0.9275689688183278,500,-1168.3999999999978,False,129,13,0,True,energy_depleted
shaped,0.3,8565,16,0.9229311239742362,500,-1461.5249999999955,False,122,24,0,False,energy_depleted
shaped,0.3,8565,17,0.918316468354365,500,-1326.3250000000016,False,145,11,0,True,energy_depleted
shaped,0.3,8565,18,0.9137248860125932,500,-1098.2999999999984,False,103,3,0,False,energy_depleted
shaped,0.3,8565,19,0.9091562615825302,500,-1232.8999999999992,False,145,2,0,True,energy_depleted
shaped,0.3,8565,20,0.9046104802746175,500,-1081.3749999999998,False,135,4,0,True,energy_depleted
shaped,0.3,8565,21,0.9000874278732445,500,-1212.124999999999,False,126,23,0,True,energy_depleted
shaped,0.3,8565,22,0.8955869907338783,500,-1638.9999999999957,False,157,16,0,False,energy_depleted
shaped,0.3,8565,23,0.8911090557802088,500,-1280.6750000000004,False,124,5,0,False,energy_depleted
shaped,0.3,8565,24,0.8866535105013078,500,-1433.099999999998,False,143,6,0,False,energy_depleted
shaped,0.3,8565,25,0.8822202429488012,500,-1142.8500000000006,False,110,7,0,True,energy_depleted
shaped,0.3,8565,26,0.8778091417340572,500,-1265.1999999999975,False,127,8,0,True,energy_depleted
shaped,0.3,8565,27,0.873420096025387,500,-1708.1249999999984,False,154,23,0,False,energy_depleted
shaped,0.3,8565,28,0.86905299554526,500,-1113.8999999999992,False,109,1,0,False,energy_depleted
shaped,0.3,8565,29,0.8647077305675337,500,-1580.2499999999984,False,162,7,0,False,energy_depleted
shaped,0.3,8565,30,0.8603841919146961,500,-1016.7749999999991,False,127,4,0,True,energy_depleted
shaped,0.3,8565,31,0.8560822709551226,500,-1318.1500000000015,False,133,13,0,True,energy_depleted
shaped,0.3,8565,32,0.8518018596003469,500,-1631.199999999996,False,154,17,0,False,energy_depleted
shaped,0.3,8565,33,0.8475428503023452,500,-1354.0249999999987,False,137,10,0,True,energy_depleted
shaped,0.3,8565,34,0.8433051360508335,500,-1954.274999999998,False,205,12,0,False,energy_depleted
shaped,0.3,8565,35,0.8390886103705792,500,-1528.2749999999994,False,176,7,0,True,energy_depleted
shaped,0.3,8565,36,0.8348931673187264,500,-1356.9250000000015,False,139,12,0,True,energy_depleted
shaped,0.3,8565,37,0.8307187014821328,500,-1381.0749999999962,False,136,7,0,False,energy_depleted
shaped,0.3,8565,38,0.826565107974722,500,-1446.9749999999974,False,118,24,0,False,energy_depleted
shaped,0.3,8565,39,0.8224322824348484,500,-1310.2249999999983,False,123,8,0,False,energy_depleted
shaped,0.3,8565,40,0.8183201210226743,500,-1305.050000000002,False,150,4,0,True,energy_depleted
shaped,0.3,8565,41,0.8142285204175609,500,-1216.7999999999993,False,113,6,0,False,energy_depleted
shaped,0.3,8565,42,0.810157377815473,500,-1198.5499999999993,False,118,16,0,True,energy_depleted
shaped,0.3,8565,43,0.8061065909263957,500,-1523.474999999998,False,146,13,0,False,energy_depleted
shaped,0.3,8565,44,0.8020760579717637,500,-1038.1999999999998,False,97,9,0,True,energy_depleted
shaped,0.3,8565,45,0.7980656776819048,500,-1397.549999999998,False,127,14,0,False,energy_depleted
shaped,0.3,8565,46,0.7940753492934953,500,-1326.2999999999984,False,125,8,0,False,energy_depleted
shaped,0.3,8565,47,0.7901049725470278,500,-1254.2999999999981,False,109,12,0,False,energy_depleted
shaped,0.3,8565,48,0.7861544476842928,500,-985.8999999999992,False,85,5,0,False,energy_depleted
shaped,0.3,8565,49,0.7822236754458712,500,-1325.750000000003,False,139,16,0,True,energy_depleted
shaped,0.3,17944,0,1.0,500,-1195.3750000000023,False,120,3,0,False,energy_depleted
shaped,0.3,17944,1,0.995,500,-1476.049999999999,False,131,18,0,False,energy_depleted
shaped,0.3,17944,2,0.990025,283,-312.0499999999997,True,57,3,0,True,goal_reached
shaped,0.3,17944,3,0.985074875,500,-1083.5750000000003,False,111,2,2,True,energy_depleted
shaped,0.3,17944,4,0.980149500625,500,-1649.625,False,172,6,0,False,energy_depleted
shaped,0.3,17944,5,0.975248753121875,500,-1172.124999999999,False,133,1,0,True,energy_depleted
shaped,0.3,17944,6,0.9703725093562656,500,-1167.824999999999,False,114,0,0,False,energy_depleted
